001,1
003,1
004,1
005,1
006,1
00A,1
00B,1
00D,1
00E,1
00F,1
010,1
011,1
014,1
015,1
016,1
017,1
018,1
019,1
01A,1
01B,1
01C,1
01D,1
01E,1
020,1
021,1
02A,1
02B,1
02C,1
02D,1
02E,1
02F,1
030,1
031,1
032,1
033,1
034,1
035,1
036,1
037,1
038,1
039,1
03A,1
03B,1
03C,1
03F,1
041,1
044,1
045,1
046,1
048,1
053,1
054,1
055,1
056,1
057,1
058,1
059,1
05A,1
05C,1
05D,1
05E,1
05F,1
060,1
068,1
069,1
06A,1
06B,1
06C,1
06E,1
06F,1
070,1
076,1
079,1
07A,1
07B,1
07C,1
07D,1
083,1
084,1
085,1
086,1
087,1
089,1
08D,1
08E,1
08F,1
090,1
091,1
092,1
095,1
096,1
097,1
098,1
099,1
09B,1
09C,1
09D,1
09E,1
0A0,1
0A4,1
0AE,1
0AF,1
0B0,1
0B1,1
0B3,1
105,1
107,1
108,1
10A,1
10C,1
10D,1
10E,1
110,1
111,1
116,1
117,1
118,1
128,1
129,1
12A,1
12B,1
12C,1
12D,1
12E,1
12F,1
130,1
131,1
132,1
133,1
134,1
135,1
13A,1
13B,1
13C,1
151,1
155,1
15A,1
15B,1
15C,1
15D,1
15E,1
162,1
167,1
168,1
16F,1
170,1
172,1
173,1
174,1
175,1
17F,1
182,1
183,1
18E,1
192,1
1D0,1
1D1,1
1D2,1
1E3,1
238,1
242,1
272,1
274,1
276,1
277,1
278,1
2B7,1
2BA,1
2BD,1
2D8,1
2E0,1
2E1,1
2E2,1
2E3,1
2E4,1
2E5,1
2E7,1
2E8,1
2E9,1
2EA,1
2EB,1
2FB,1
303,1
305,0
307,0
308,0
30C,0
30D,0
30E,1
314,0
315,0
316,1
318,0
319,0
31B,0
31E,0
332,0
340,0
341,0
342,0
346,0
347,0
348,0
349,0
34A,0
34B,0
34C,0
34D,0
34E,0
34F,0
350,0
355,0
358,0
359,0
367,0
368,0
36D,0
36E,1
36F,1
370,0
371,1
373,0
374,1
379,0
37A,1
37E,1
380,0
381,0
382,1
385,1
386,1
387,1
397,1
39B,1
3F4,0
426,0
427,0
492,1
4F2,0
501,0
502,0
506,0
507,0
508,0
509,0
511,0
512,0
516,0
518,0
519,0
50A,0
542,0
559,1
55A,0
564,1
568,0
56A,0
5F7,0
600,0
602,0
603,0
606,0
607,0
615,0
616,0
617,0
618,0
619,0
61A,0
636,0
637,0
638,0
63D,0
63E,0
64E,0
651,0
652,0
653,0
654,0
65C,0
65D,0
65E,1
661,0
666,1
667,0
67A,0
67B,1
67C,1
67E,1
67F,1
688,0
68B,1
69A,1
6AD,1
